expense_id,rep_id,expense_date,category,amount_inr,reimbursed,policy_compliant,notes
EXP-20251028-001,REP-014,2025-10-28,Samples,1495,true,true,Demo kit refill
EXP-20251027-001,REP-014,2025-10-27,Lodging,3049,true,true,Hotel stay — field trip
EXP-20251031-001,REP-014,2025-10-31,Lodging,3939,true,true,Hotel stay — field trip
EXP-20251106-001,REP-014,2025-11-06,Travel,603,true,true,Fuel reimbursement
EXP-20251115-001,REP-014,2025-11-15,Travel,1964,true,true,Cab to hospital
EXP-20251123-001,REP-014,2025-11-23,Travel,1557,true,true,Bus fare
EXP-20251125-001,REP-014,2025-11-25,Food,583,true,true,Working lunch
EXP-20251128-001,REP-014,2025-11-28,Other,96,true,true,Misc expense
EXP-20251206-001,REP-014,2025-12-06,Travel,1044,true,true,Bus fare
EXP-20251206-002,REP-014,2025-12-06,Lodging,3245,true,true,Lodging — outstation visit
EXP-20251212-001,REP-014,2025-12-12,Travel,369,true,true,Train ticket
EXP-20251213-001,REP-014,2025-12-13,Travel,1745,false,true,Cab to hospital
EXP-20251220-001,REP-014,2025-12-20,Lodging,2279,true,true,Guest house — 2 nights
EXP-20251225-001,REP-014,2025-12-25,Travel,1055,true,true,Fuel reimbursement
EXP-20251225-002,REP-014,2025-12-25,Mobile,584,true,true,Roaming charges
EXP-20260105-001,REP-014,2026-01-05,Food,304,true,true,Snacks for meeting
EXP-20260101-001,REP-014,2026-01-01,Travel,535,true,true,Auto to clinic
EXP-20260108-001,REP-014,2026-01-08,Travel,1036,true,true,Auto to clinic
EXP-20260116-001,REP-014,2026-01-16,Travel,1398,false,true,Bus fare
EXP-20260120-001,REP-014,2026-01-20,Samples,61,true,true,Demo kit refill
EXP-20260124-001,REP-014,2026-01-24,Lodging,1538,true,true,Guest house — 2 nights
EXP-20260124-002,REP-014,2026-01-24,Lodging,2208,true,true,Lodging — outstation visit
EXP-20260129-001,REP-014,2026-01-29,Samples,266,true,true,Product samples drop
EXP-20260210-001,REP-014,2026-02-10,Mobile,289,true,true,Roaming charges
EXP-20260208-001,REP-014,2026-02-08,Travel,1428,true,false,Fuel reimbursement
EXP-20260212-001,REP-014,2026-02-12,Travel,573,true,true,Bus fare
EXP-20260220-001,REP-014,2026-02-20,Travel,890,false,true,Bus fare
EXP-20260302-001,REP-014,2026-03-02,Travel,1251,true,true,Fuel reimbursement
EXP-20260309-001,REP-014,2026-03-09,Travel,1022,true,false,Auto to clinic
EXP-20260307-001,REP-014,2026-03-07,Travel,496,true,true,Cab to hospital
EXP-20260313-001,REP-014,2026-03-13,Travel,1017,true,true,Bus fare
EXP-20260315-001,REP-014,2026-03-15,Food,267,true,true,Dinner with HCP
EXP-20260323-001,REP-014,2026-03-23,Samples,347,true,true,Product samples drop
EXP-20260328-001,REP-014,2026-03-28,Food,741,true,true,Coffee meeting
EXP-20230406-001,REP-015,2023-04-06,Samples,65,true,true,Demo kit refill
EXP-20230415-001,REP-015,2023-04-15,Mobile,640,true,true,Mobile bill
EXP-20230419-001,REP-015,2023-04-19,Samples,1399,true,true,Demo kit refill
EXP-20230429-001,REP-015,2023-04-29,Mobile,461,true,true,Roaming charges
EXP-20230502-001,REP-015,2023-05-02,Mobile,561,true,true,Roaming charges
EXP-20230506-001,REP-015,2023-05-06,Food,619,true,true,Dinner with HCP
EXP-20230513-001,REP-015,2023-05-13,Lodging,1878,true,true,Hotel stay — field trip
EXP-20230508-001,REP-015,2023-05-08,Samples,332,true,true,Sample packs for HCP
EXP-20230517-001,REP-015,2023-05-17,Travel,1239,true,true,Fuel reimbursement
EXP-20230522-001,REP-015,2023-05-22,Travel,967,true,true,Cab to hospital
EXP-20230524-001,REP-015,2023-05-24,Lodging,1566,true,true,Lodging — outstation visit
EXP-20230531-001,REP-015,2023-05-31,Food,713,false,true,Dinner with HCP
EXP-20230604-001,REP-015,2023-06-04,Mobile,344,true,true,Internet recharge
EXP-20230604-002,REP-015,2023-06-04,Travel,1088,true,true,Auto to clinic
EXP-20230617-001,REP-015,2023-06-17,Mobile,448,true,true,Mobile bill
EXP-20230616-001,REP-015,2023-06-16,Lodging,1800,true,true,Guest house — 2 nights
EXP-20230624-001,REP-015,2023-06-24,Travel,1588,true,true,Fuel reimbursement
EXP-20230618-001,REP-015,2023-06-18,Travel,921,true,true,Train ticket
EXP-20230627-001,REP-015,2023-06-27,Travel,1207,true,false,Auto to clinic
EXP-20230627-002,REP-015,2023-06-27,Lodging,2338,true,true,Lodging — outstation visit
EXP-20230704-001,REP-015,2023-07-04,Food,420,true,true,Team lunch with HCP
EXP-20230709-001,REP-015,2023-07-09,Lodging,1913,true,true,Lodging — outstation visit
EXP-20230709-002,REP-015,2023-07-09,Samples,1012,true,true,Sample packs for HCP
EXP-20230718-001,REP-015,2023-07-18,Mobile,518,true,true,Internet recharge
EXP-20230724-001,REP-015,2023-07-24,Travel,311,true,true,Train ticket
EXP-20230805-001,REP-015,2023-08-05,Travel,715,true,true,Auto to clinic
EXP-20230812-001,REP-015,2023-08-12,Food,649,true,true,Snacks for meeting
EXP-20230807-001,REP-015,2023-08-07,Samples,1025,true,true,Product samples drop
EXP-20230819-001,REP-015,2023-08-19,Lodging,3792,true,true,Hotel stay — field trip
EXP-20230820-001,REP-015,2023-08-20,Lodging,2501,true,true,Hotel stay — field trip
EXP-20230831-001,REP-015,2023-08-31,Travel,824,true,true,Train ticket
EXP-20230901-001,REP-015,2023-09-01,Samples,1150,true,true,Demo kit refill
EXP-20230908-001,REP-015,2023-09-08,Travel,1047,true,true,Bus fare
EXP-20230911-001,REP-015,2023-09-11,Lodging,2035,true,true,Lodging — outstation visit
EXP-20230922-001,REP-015,2023-09-22,Lodging,1749,true,true,Hotel stay — field trip
EXP-20230928-001,REP-015,2023-09-28,Lodging,3927,true,true,Lodging — outstation visit
EXP-20231002-001,REP-015,2023-10-02,Food,614,true,true,Coffee meeting
EXP-20231001-001,REP-015,2023-10-01,Travel,1812,true,true,Fuel reimbursement
EXP-20231013-001,REP-015,2023-10-13,Travel,1808,true,true,Fuel reimbursement
EXP-20231012-001,REP-015,2023-10-12,Travel,482,false,true,Train ticket
EXP-20231018-001,REP-015,2023-10-18,Travel,500,true,true,Train ticket
EXP-20231017-001,REP-015,2023-10-17,Food,708,true,true,Coffee meeting
EXP-20231026-001,REP-015,2023-10-26,Conference,2655,true,true,CME event fees
EXP-20231028-001,REP-015,2023-10-28,Travel,328,true,true,Cab to hospital
EXP-20231102-001,REP-015,2023-11-02,Travel,885,true,true,Bus fare
EXP-20231031-001,REP-015,2023-10-31,Travel,975,true,true,Train ticket
EXP-20231109-001,REP-015,2023-11-09,Travel,1803,true,true,Auto to clinic
EXP-20231107-001,REP-015,2023-11-07,Travel,622,true,true,Fuel reimbursement
EXP-20231117-001,REP-015,2023-11-17,Samples,1296,true,true,Product samples drop
EXP-20231119-001,REP-015,2023-11-19,Lodging,2811,true,true,Guest house — 2 nights
EXP-20231125-001,REP-015,2023-11-25,Travel,1569,true,true,Cab to hospital
EXP-20231130-001,REP-015,2023-11-30,Travel,1025,true,true,Train ticket
EXP-20231204-001,REP-015,2023-12-04,Lodging,2917,true,true,Lodging — outstation visit
EXP-20231215-001,REP-015,2023-12-15,Food,273,true,true,Snacks for meeting
EXP-20231216-001,REP-015,2023-12-16,Food,800,true,true,Team lunch with HCP
EXP-20231220-001,REP-015,2023-12-20,Conference,4703,true,true,CME event fees
EXP-20231224-001,REP-015,2023-12-24,Mobile,148,true,true,Mobile bill
EXP-20231225-001,REP-015,2023-12-25,Food,619,true,true,Team lunch with HCP
EXP-20231231-001,REP-015,2023-12-31,Travel,226,true,true,Auto to clinic
EXP-20240103-001,REP-015,2024-01-03,Travel,1196,true,true,Cab to hospital
EXP-20240109-001,REP-015,2024-01-09,Samples,684,true,true,Sample packs for HCP
EXP-20240118-001,REP-015,2024-01-18,Travel,654,true,true,Auto to clinic
EXP-20240117-001,REP-015,2024-01-17,Conference,3790,false,true,CME event fees
EXP-20240121-001,REP-015,2024-01-21,Travel,1680,true,true,Train ticket
EXP-20240202-001,REP-015,2024-02-02,Travel,431,true,true,Fuel reimbursement
EXP-20240210-001,REP-015,2024-02-10,Food,367,true,true,Dinner with HCP
EXP-20240211-001,REP-015,2024-02-11,Travel,404,true,false,Train ticket
EXP-20240216-001,REP-015,2024-02-16,Mobile,177,true,true,Mobile bill
EXP-20240218-001,REP-015,2024-02-18,Lodging,3072,true,true,Guest house — 2 nights
EXP-20240220-001,REP-015,2024-02-20,Travel,1891,true,true,Cab to hospital
EXP-20240227-001,REP-015,2024-02-27,Samples,1455,true,true,Sample packs for HCP
EXP-20240228-001,REP-015,2024-02-28,Mobile,358,true,true,Internet recharge
EXP-20240309-001,REP-015,2024-03-09,Travel,1723,true,true,Fuel reimbursement
EXP-20240307-001,REP-015,2024-03-07,Food,246,true,true,Team lunch with HCP
EXP-20240315-001,REP-015,2024-03-15,Travel,462,true,true,Fuel reimbursement
EXP-20240312-001,REP-015,2024-03-12,Mobile,723,false,true,Mobile bill
EXP-20240318-001,REP-015,2024-03-18,Samples,193,true,true,Demo kit refill
EXP-20240322-001,REP-015,2024-03-22,Food,528,true,true,Dinner with HCP
EXP-20240330-001,REP-015,2024-03-30,Travel,1767,true,true,Train ticket
EXP-20240403-001,REP-015,2024-04-03,Travel,1626,true,true,Train ticket
EXP-20240410-001,REP-015,2024-04-10,Travel,1167,true,true,Auto to clinic
EXP-20240415-001,REP-015,2024-04-15,Food,585,true,true,Snacks for meeting
EXP-20240419-001,REP-015,2024-04-19,Mobile,304,true,true,Mobile bill
EXP-20240425-001,REP-015,2024-04-25,Mobile,389,true,true,Internet recharge
EXP-20240502-001,REP-015,2024-05-02,Lodging,2553,true,true,Guest house — 2 nights
EXP-20240509-001,REP-015,2024-05-09,Conference,3748,true,true,CME event fees
EXP-20240514-001,REP-015,2024-05-14,Travel,1057,true,true,Train ticket
EXP-20240525-001,REP-015,2024-05-25,Travel,722,true,true,Auto to clinic
EXP-20240519-001,REP-015,2024-05-19,Travel,1455,true,true,Bus fare
EXP-20240526-001,REP-015,2024-05-26,Travel,1895,true,true,Auto to clinic
EXP-20240604-001,REP-015,2024-06-04,Mobile,253,true,true,Roaming charges
EXP-20240604-002,REP-015,2024-06-04,Travel,1884,true,true,Auto to clinic
EXP-20240609-001,REP-015,2024-06-09,Mobile,239,true,true,Roaming charges
EXP-20240609-002,REP-015,2024-06-09,Other,661,true,true,Misc expense
EXP-20240616-001,REP-015,2024-06-16,Travel,457,true,true,Cab to hospital
EXP-20240619-001,REP-015,2024-06-19,Lodging,3341,true,true,Hotel stay — field trip
EXP-20240626-001,REP-015,2024-06-26,Travel,951,true,true,Auto to clinic
EXP-20240630-002,REP-015,2024-06-30,Lodging,1871,true,true,Guest house — 2 nights
EXP-20240708-001,REP-015,2024-07-08,Travel,1254,false,true,Cab to hospital
EXP-20240715-003,REP-015,2024-07-15,Travel,880,true,true,Auto to clinic
EXP-20240721-001,REP-015,2024-07-21,Food,692,true,true,Snacks for meeting
EXP-20240727-001,REP-015,2024-07-27,Travel,877,true,true,Auto to clinic
EXP-20240730-001,REP-015,2024-07-30,Lodging,2715,true,true,Hotel stay — field trip
EXP-20240805-001,REP-015,2024-08-05,Travel,843,true,true,Fuel reimbursement
EXP-20240813-001,REP-015,2024-08-13,Samples,1441,true,true,Demo kit refill
EXP-20240815-001,REP-015,2024-08-15,Food,325,true,true,Coffee meeting
EXP-20240820-001,REP-015,2024-08-20,Samples,372,true,true,Demo kit refill
EXP-20240826-001,REP-015,2024-08-26,Travel,1973,true,true,Train ticket
EXP-20240828-001,REP-015,2024-08-28,Samples,850,true,true,Demo kit refill
EXP-20240904-001,REP-015,2024-09-04,Lodging,3891,true,true,Hotel stay — field trip
EXP-20240901-001,REP-015,2024-09-01,Samples,1005,true,true,Product samples drop
EXP-20240908-001,REP-015,2024-09-08,Travel,218,true,true,Train ticket
EXP-20240921-001,REP-015,2024-09-21,Samples,1317,false,true,Sample packs for HCP
EXP-20240920-001,REP-015,2024-09-20,Travel,1812,true,true,Fuel reimbursement
EXP-20240922-002,REP-015,2024-09-22,Travel,1718,true,true,Fuel reimbursement
EXP-20240928-001,REP-015,2024-09-28,Travel,1044,true,true,Auto to clinic
EXP-20241002-002,REP-015,2024-10-02,Samples,404,false,true,Sample packs for HCP
EXP-20241007-001,REP-015,2024-10-07,Travel,211,true,true,Fuel reimbursement
EXP-20241016-001,REP-015,2024-10-16,Travel,1015,true,true,Cab to hospital
EXP-20241023-001,REP-015,2024-10-23,Travel,402,true,true,Train ticket
EXP-20241027-001,REP-015,2024-10-27,Travel,1691,true,true,Bus fare
EXP-20241108-002,REP-015,2024-11-08,Mobile,764,true,true,Roaming charges
EXP-20241110-001,REP-015,2024-11-10,Food,561,true,true,Working lunch
EXP-20241119-001,REP-015,2024-11-19,Travel,661,true,true,Bus fare
EXP-20241124-001,REP-015,2024-11-24,Travel,284,true,true,Bus fare
EXP-20241124-002,REP-015,2024-11-24,Lodging,3354,true,true,Guest house — 2 nights
EXP-20241201-002,REP-015,2024-12-01,Other,592,true,false,Printing materials
EXP-20241204-001,REP-015,2024-12-04,Mobile,792,true,true,Roaming charges
EXP-20241209-001,REP-015,2024-12-09,Food,119,true,true,Dinner with HCP
EXP-20241217-001,REP-015,2024-12-17,Food,377,true,true,Dinner with HCP
EXP-20241220-001,REP-015,2024-12-20,Travel,1365,true,true,Cab to hospital
EXP-20241226-001,REP-015,2024-12-26,Food,653,true,true,Coffee meeting
EXP-20241224-001,REP-015,2024-12-24,Samples,341,true,true,Sample packs for HCP
EXP-20250104-001,REP-015,2025-01-04,Food,528,true,true,Working lunch
EXP-20250103-002,REP-015,2025-01-03,Travel,919,true,true,Cab to hospital
EXP-20250108-002,REP-015,2025-01-08,Food,194,true,true,Coffee meeting
EXP-20250118-001,REP-015,2025-01-18,Samples,999,false,true,Demo kit refill
EXP-20250119-001,REP-015,2025-01-19,Travel,1675,true,true,Bus fare
EXP-20250123-001,REP-015,2025-01-23,Travel,1477,false,true,Fuel reimbursement
EXP-20250131-001,REP-015,2025-01-31,Travel,991,true,true,Fuel reimbursement
EXP-20250129-001,REP-015,2025-01-29,Travel,1947,true,true,Fuel reimbursement
EXP-20250203-002,REP-015,2025-02-03,Conference,1713,true,true,CME event fees
EXP-20250214-002,REP-015,2025-02-14,Samples,1087,true,true,Demo kit refill
EXP-20250216-001,REP-015,2025-02-16,Lodging,1943,true,true,Hotel stay — field trip
EXP-20250216-002,REP-015,2025-02-16,Travel,1241,true,true,Cab to hospital
EXP-20250225-001,REP-015,2025-02-25,Lodging,3502,true,true,Guest house — 2 nights
EXP-20250223-001,REP-015,2025-02-23,Food,423,true,true,Snacks for meeting
EXP-20250303-001,REP-015,2025-03-03,Travel,486,true,true,Train ticket
EXP-20250312-001,REP-015,2025-03-12,Food,438,true,true,Coffee meeting
EXP-20250315-001,REP-015,2025-03-15,Samples,1012,false,true,Demo kit refill
EXP-20250320-002,REP-015,2025-03-20,Samples,495,true,true,Product samples drop
EXP-20250324-001,REP-015,2025-03-24,Travel,646,false,true,Auto to clinic
EXP-20250403-001,REP-015,2025-04-03,Lodging,3588,true,true,Lodging — outstation visit
EXP-20250408-002,REP-015,2025-04-08,Travel,986,true,true,Cab to hospital
EXP-20250411-001,REP-015,2025-04-11,Lodging,1544,true,true,Hotel stay — field trip
EXP-20250413-001,REP-015,2025-04-13,Food,343,true,true,Dinner with HCP
EXP-20250419-001,REP-015,2025-04-19,Food,684,true,true,Coffee meeting
EXP-20250423-001,REP-015,2025-04-23,Conference,734,false,true,CME event fees
EXP-20250502-001,REP-015,2025-05-02,Travel,901,true,false,Auto to clinic
EXP-20250506-002,REP-015,2025-05-06,Mobile,704,true,false,Roaming charges
EXP-20250504-001,REP-015,2025-05-04,Food,487,true,true,Team lunch with HCP
EXP-20250516-001,REP-015,2025-05-16,Samples,1362,false,true,Sample packs for HCP
EXP-20250515-001,REP-015,2025-05-15,Food,404,true,true,Dinner with HCP
EXP-20250519-002,REP-015,2025-05-19,Food,459,true,true,Coffee meeting
EXP-20250522-001,REP-015,2025-05-22,Food,688,true,true,Team lunch with HCP
EXP-20250528-001,REP-015,2025-05-28,Travel,715,true,true,Bus fare
EXP-20250605-001,REP-015,2025-06-05,Conference,4455,true,true,Doctor meet sponsorship
EXP-20250606-001,REP-015,2025-06-06,Lodging,1784,true,true,Guest house — 2 nights
EXP-20250610-002,REP-015,2025-06-10,Lodging,2560,false,true,Hotel stay — field trip
EXP-20250610-003,REP-015,2025-06-10,Travel,1971,true,true,Fuel reimbursement
EXP-20250621-001,REP-015,2025-06-21,Samples,223,true,true,Product samples drop
EXP-20250616-001,REP-015,2025-06-16,Travel,1780,false,true,Cab to hospital
EXP-20250622-002,REP-015,2025-06-22,Food,712,true,true,Working lunch
EXP-20250624-001,REP-015,2025-06-24,Travel,699,true,true,Fuel reimbursement
EXP-20250702-001,REP-015,2025-07-02,Travel,716,true,true,Train ticket
EXP-20250712-001,REP-015,2025-07-12,Travel,1086,true,true,Auto to clinic
EXP-20250716-002,REP-015,2025-07-16,Travel,1366,true,false,Auto to clinic
EXP-20250714-001,REP-015,2025-07-14,Food,370,true,true,Dinner with HCP
EXP-20250722-001,REP-015,2025-07-22,Travel,1546,true,true,Cab to hospital
EXP-20250801-001,REP-015,2025-08-01,Mobile,618,true,true,Roaming charges
EXP-20250729-002,REP-015,2025-07-29,Food,376,true,true,Dinner with HCP
EXP-20250804-001,REP-015,2025-08-04,Samples,842,true,true,Demo kit refill
EXP-20250815-001,REP-015,2025-08-15,Travel,1713,true,true,Cab to hospital
EXP-20250816-001,REP-015,2025-08-16,Travel,717,false,true,Fuel reimbursement
EXP-20250819-001,REP-015,2025-08-19,Travel,1780,true,true,Fuel reimbursement
EXP-20250826-001,REP-015,2025-08-26,Lodging,3799,true,true,Lodging — outstation visit
EXP-20250905-001,REP-015,2025-09-05,Samples,478,true,true,Sample packs for HCP
EXP-20250912-002,REP-015,2025-09-12,Food,138,true,true,Snacks for meeting
EXP-20250918-001,REP-015,2025-09-18,Travel,443,true,true,Fuel reimbursement
EXP-20250919-002,REP-015,2025-09-19,Lodging,1613,false,true,Hotel stay — field trip
EXP-20250923-001,REP-015,2025-09-23,Travel,222,true,true,Cab to hospital
EXP-20250925-001,REP-015,2025-09-25,Travel,683,true,true,Fuel reimbursement
EXP-20250930-001,REP-015,2025-09-30,Lodging,1550,true,true,Guest house — 2 nights
EXP-20250930-002,REP-015,2025-09-30,Lodging,2546,true,true,Hotel stay — field trip
EXP-20251009-001,REP-015,2025-10-09,Travel,1457,true,true,Auto to clinic
EXP-20251012-001,REP-015,2025-10-12,Samples,58,true,true,Sample packs for HCP
EXP-20251016-002,REP-015,2025-10-16,Conference,2068,true,true,CME event fees
EXP-20251023-001,REP-015,2025-10-23,Food,434,true,true,Dinner with HCP
EXP-20251027-002,REP-015,2025-10-27,Travel,1607,true,true,Bus fare
EXP-20251026-001,REP-015,2025-10-26,Travel,221,true,true,Cab to hospital
